City,arab_voter_count
ROMOLAND,5
ROSAMOND,32
ROSEMEAD,33
ROSEVILLE,1548
ROSS,9
ROUGH AND READY,9
ROWLAND HEIGHTS,205
ROYAL OAKS,17
RUNNING SPRINGS,2
SACRAMENTO,7762
SAINT HELENA,13
SALIDA,72
SALINAS,308
SALTON CITY,2
SAN ANDREAS,6
SAN ANSELMO,42
SAN BERNARDINO,656
SAN BRUNO,537
SAN CARLOS,274
SAN CLEMENTE,298
SAN DIEGO,11295
SAN DIMAS,433
SAN FERNANDO,32
SAN FRANCISCO,6073
SAN GABRIEL,185
SAN JACINTO,156
SAN JOAQUIN,14
SAN JOSE,7913
SAN JUAN BAUTISTA,9
SAN JUAN CAPISTRANO,159
SAN LEANDRO,883
SAN LORENZO,137
SAN LUIS OBISPO,158
SAN MARCOS,715
SAN MARINO,54
SAN MARTIN,31
SAN MATEO,860
SAN PABLO,286
SAN PEDRO,305
SAN QUENTIN,2
SAN RAFAEL,269
SAN RAMON,1916
SAN YSIDRO,21
SAND CITY,2
SANGER,64
SANTA ANA,901
SANTA BARBARA,382
SANTA CLARA,2199
SANTA CLARITA,221
SANTA CRUZ,285
SANTA FE SPRINGS,24
SANTA MARGARITA,2
SANTA MARIA,176
SANTA MONICA,986
SANTA NELLA,5
SANTA PAULA,15
SANTA ROSA,420
SANTA ROSA VALLEY,23
SANTA YNEZ,6
SANTA YSABEL,1
SANTEE,556
SARATOGA,497
SAUGUS,327
SAUSALITO,35
SCOTIA,1
SCOTTS VALLEY,50
SEAL BEACH,105
SEASIDE,182
SEBASTOPOL,25
SEELEY,2
SELMA,120
SF-PRESIDIO,23
SF-TREASURE ISLAND,33
SHAFTER,80
SHANDON,1
SHASTA LAKE,4
SHAVER LAKE,1
SHERIDAN,3
SHERMAN OAKS,618
SHERWOOD FOREST,1
SHINGLE SPRINGS,7
SHINGLETOWN,1
SIERRA MADRE,48
SIGNAL HILL,74
SILVERADO,17
SIMI VALLEY,1189
SKYFOREST,2
SLOUGHHOUSE,6
SMARTSVILLE,1
SMITH RIVER,1
SOLANA BEACH,37
SOLEDAD,68
SOLVANG,12
SOMERSET,1
SOMIS,23
SONOMA,29
SONORA,15
SOQUEL,24
SOULSBYVILLE,3
SOUTH EL MONTE,12
SOUTH GATE,50
SOUTH LAKE TAHOE,32
SOUTH PASADENA,128
SOUTH SAN FRANCISCO,732
SOUTH SAN GABRIEL,12
SPRING VALLEY,872
SPRINGVILLE,3
STANFORD,96
STANTON,203
STEVENSON RANCH,325
STEVENSON RNH,7
STEVINSON,4
STINSON BEACH,1
STOCKTON,3101
STRATFORD,2
STRATHMORE,4
STUDIO CITY,229
SUGARLOAF,2
SUISUN CITY,148
SUMMERLAND,3
SUN VALLEY,155
SUNLAND,86
SUNNYVALE,1253
SUNOL,9
SUNSET BEACH,3
SUSANVILLE,8
SUTTER,3
SUTTER CREEK,2
SYLMAR,233
TAFT,18
TAHOE CITY,1
TAHOE VISTA,1
TARZANA,587
TEHACHAPI,37
TEHAMA,3
TEMECULA,848
TEMPLE CITY,123
TEMPLETON,11
TERRA BELLA,6
THERMAL,1
THORNTON,3
THOUSAND OAKS,379
THOUSAND PALMS,11
THREE RIVERS,3
TIBURON,74
TIPTON,10
TOLUCA LAKE,1
TOMALES,1
TOPANGA,14
TORRANCE,2297
TRABUCO,492
TRACY,2005
